,File Name,Detection,Disposition,Type Event,Severity,SHA256,Hostname,File path
0,iodnxvg.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\iodnxvg.exe
1,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
2,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
3,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
4,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
5,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
6,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
7,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
8,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
9,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
10,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
11,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
12,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
13,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
14,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
15,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
16,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
17,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
18,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
19,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
20,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
21,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
22,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
23,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
24,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
25,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
26,webinstall.exe,GenericKD:Dyreza-tpd,Malicious,Threat Detected,Medium,4fe85509bb6a87dbf04aa114c5523b183f995a6820f424871df29bca64ad7ecc,Demo_Dyre,C:\Users\ADMINI~1\AppData\Local\Temp\webinstall.exe
27,webinstall.exe,GenericKD:Dyreza-tpd,Malicious,Threat Detected,Medium,4fe85509bb6a87dbf04aa114c5523b183f995a6820f424871df29bca64ad7ecc,Demo_Dyre,C:\Users\ADMINI~1\AppData\Local\Temp\webinstall.exe
28,webinstall.exe,GenericKD:Dyreza-tpd,Malicious,Threat Detected,Medium,4fe85509bb6a87dbf04aa114c5523b183f995a6820f424871df29bca64ad7ecc,Demo_Dyre,C:\Users\ADMINI~1\AppData\Local\Temp\webinstall.exe
29,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
30,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,\\?\C:\ekjrngjker.exe
31,ekjrngjker.exe,W32.File.MalParent,Malicious,Threat Detected,Medium,b1380fd95bc5c0729738dcda2696aa0a7c6ee97a93d992931ce717a0df523967,Demo_AMP_Threat_Audit,C:\ekjrngjker.exe
32,webinstall.exe,GenericKD:Dyreza-tpd,Malicious,Threat Detected,Medium,4fe85509bb6a87dbf04aa114c5523b183f995a6820f424871df29bca64ad7ecc,Demo_Dyre,C:\Users\ADMINI~1\AppData\Local\Temp\webinstall.exe
33,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
34,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
35,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
36,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
37,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
38,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
39,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
40,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
41,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
42,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
43,rjtsbks.exe,W32.DFC.MalParent,Malicious,Threat Detected,Medium,3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370,Demo_TeslaCrypt,\\?\C:\Users\Administrator\AppData\Roaming\rjtsbks.exe
